Symbol,Name,Reason
PNW,Pinnacle West Capital Corporation,Operating Margins
DAL,"Delta Air Lines, Inc.",EBITDA Margin
RSG,"Republic Services, Inc.",Debt/Equity
L,Loews Corporation,Operating Margins
ARE,"Alexandria Real Estate Equities, Inc.",P/E
BEN,"Franklin Resources, Inc.",Operating Margins
FMC,FMC Corporation,Revenue Growth
CHRW,"C.H. Robinson Worldwide, Inc.",EBITDA Margin
TDG,TransDigm Group Incorporated,P/E
MDLZ,"Mondelez International, Inc.",Operating Margins
EA,Electronic Arts Inc.,Avg. Volume
AMZN,"Amazon.com, Inc.",P/E
HPQ,HP Inc.,EBITDA Margin
AMGN,Amgen Inc.,Operating Margins
CRM,"Salesforce, Inc.",P/E
KMB,Kimberly-Clark Corporation,Operating Margins
DG,Dollar General Corporation,EBITDA Margin
IDXX,"IDEXX Laboratories, Inc.",P/E
CTAS,Cintas Corporation,Avg. Volume
SWK,"Stanley Black & Decker, Inc.",Eps
APD,"Air Products and Chemicals, Inc.",Avg. Volume
ROL,"Rollins, Inc.",P/E
CTRA,Coterra Energy Inc.,Revenue Growth
OXY,Occidental Petroleum Corporation,Beta
HIG,"The Hartford Financial Services Group, Inc.",Operating Margins
CCI,Crown Castle Inc.,Debt/Equity
PHM,"PulteGroup, Inc.",Avg. Volume
MKTX,MarketAxess Holdings Inc.,Revenue
DGX,Quest Diagnostics Incorporated,Operating Margins
IFF,International Flavors & Fragrances Inc.,Eps
NWS,News Corporation,P/E
GL,Globe Life Inc.,Avg. Volume
DAY,Dayforce Inc,P/E
PARA,Paramount Global,Eps
INCY,Incyte Corporation,Avg. Volume
AEP,"American Electric Power Company, Inc.",Operating Margins
LHX,"L3Harris Technologies, Inc.",Operating Margins
WBD,"Warner Bros. Discovery, Inc.",Eps
ANSS,"ANSYS, Inc.",P/E
ETR,Entergy Corporation,Operating Margins
IVZ,Invesco Ltd.,Eps
RVTY,"Revvity, Inc.",P/E
AMT,American Tower Corporation,P/E
KMX,"CarMax, Inc.",EBITDA Margin
NXPI,NXP Semiconductors N.V.,Debt/Equity
XOM,Exxon Mobil Corporation,Operating Margins
PPG,"PPG Industries, Inc.",Operating Margins
RHI,Robert Half Inc.,EBITDA Margin
GIS,"General Mills, Inc.",Debt/Equity
NCLH,Norwegian Cruise Line Holdings Ltd.,Operating Margins
LLY,Eli Lilly and Company,P/E
EPAM,"EPAM Systems, Inc.",EBITDA Margin
OMC,Omnicom Group Inc.,Operating Margins
TRV,"The Travelers Companies, Inc.",EBITDA Margin
K,Kellanova,EBITDA Margin
IPG,"The Interpublic Group of Companies, Inc.",Operating Margins
AES,The AES Corporation,P/E
ITW,Illinois Tool Works Inc.,Debt/Equity
GNRC,Generac Holdings Inc.,EBITDA Margin
TSLA,"Tesla, Inc.",EBITDA Margin
ELV,"Elevance Health, Inc.",EBITDA Margin
EL,The Estée Lauder Companies Inc.,P/E
MSI,"Motorola Solutions, Inc.",Debt/Equity
AXON,"Axon Enterprise, Inc.",P/E
UPS,"United Parcel Service, Inc.",EBITDA Margin
KMI,"Kinder Morgan, Inc.",Debt/Equity
IBM,International Business Machines Corporation,Debt/Equity
NDAQ,"Nasdaq, Inc.",Debt/Equity
ZBRA,Zebra Technologies Corporation,P/E
CTVA,"Corteva, Inc.",Operating Margins
ADSK,"Autodesk, Inc.",P/E
APTV,Aptiv PLC,EBITDA Margin
UAL,"United Airlines Holdings, Inc.",EBITDA Margin
AIZ,"Assurant, Inc.",EBITDA Margin
RTX,RTX Corporation,EBITDA Margin
TECH,Bio-Techne Corporation,Avg. Volume
PGR,The Progressive Corporation,EBITDA Margin
GE,General Electric Company,EBITDA Margin
AMAT,"Applied Materials, Inc.",Beta
WEC,"WEC Energy Group, Inc.",Debt/Equity
CSX,CSX Corporation,Debt/Equity
DECK,Deckers Outdoor Corporation,Avg. Volume
IR,Ingersoll Rand Inc.,Avg. Volume
EFX,Equifax Inc.,P/E
OKE,"ONEOK, Inc.",Debt/Equity
CPT,Camden Property Trust,Avg. Volume
MAS,Masco Corporation,Operating Margins
HII,"Huntington Ingalls Industries, Inc.",EBITDA Margin
MRK,"Merck & Co., Inc.",P/E
APA,APA Corporation,Debt/Equity
VMC,Vulcan Materials Company,Operating Margins
CNC,Centene Corporation,EBITDA Margin
HUM,Humana Inc.,EBITDA Margin
ULTA,"Ulta Beauty, Inc.",Operating Margins
WRB,W. R. Berkley Corporation,Operating Margins
GEHC,GE HealthCare Technologies Inc.,Operating Margins
CF,"CF Industries Holdings, Inc.",Revenue Growth
ETN,Eaton Corporation plc,Avg. Volume
SWKS,"Skyworks Solutions, Inc.",Avg. Volume
FDX,FedEx Corporation,EBITDA Margin
CRL,"Charles River Laboratories International, Inc.",Operating Margins
HRL,Hormel Foods Corporation,EBITDA Margin
VLO,Valero Energy Corporation,EBITDA Margin
REGN,"Regeneron Pharmaceuticals, Inc.",Avg. Volume
ENPH,"Enphase Energy, Inc.",Revenue Growth
LYV,"Live Nation Entertainment, Inc.",P/E
COST,Costco Wholesale Corporation,EBITDA Margin
BLDR,"Builders FirstSource, Inc.",Operating Margins
GWW,"W.W. Grainger, Inc.",Operating Margins
INTC,Intel Corporation,P/E
DLR,"Digital Realty Trust, Inc.",Operating Margins
IT,"Gartner, Inc.",Debt/Equity
PEP,"PepsiCo, Inc.",Operating Margins
MET,"MetLife, Inc.",EBITDA Margin
ECL,Ecolab Inc.,Operating Margins
POOL,Pool Corporation,EBITDA Margin
BAX,Baxter International Inc.,Eps
BIIB,Biogen Inc.,Avg. Volume
JBL,Jabil Inc.,EBITDA Margin
PFG,"Principal Financial Group, Inc.",EBITDA Margin
ALGN,"Align Technology, Inc.",P/E
SLB,Schlumberger Limited,Operating Margins
VRTX,Vertex Pharmaceuticals Incorporated,Avg. Volume
TGT,Target Corporation,EBITDA Margin
ON,ON Semiconductor Corporation,Beta
MOH,"Molina Healthcare, Inc.",EBITDA Margin
MRO,Marathon Oil Corporation,Beta
DVN,Devon Energy Corporation,Beta
IQV,IQVIA Holdings Inc.,Operating Margins
DTE,DTE Energy Company,Revenue Growth
ROST,"Ross Stores, Inc.",EBITDA Margin
SBUX,Starbucks Corporation,Operating Margins
SPGI,S&P Global Inc.,P/E
PFE,Pfizer Inc.,P/E
ANET,"Arista Networks, Inc.",Avg. Volume
LEN,Lennar Corporation,Operating Margins
SYY,Sysco Corporation,EBITDA Margin
HUBB,Hubbell Incorporated,Operating Margins
HOLX,"Hologic, Inc.",Avg. Volume
AWK,"American Water Works Company, Inc.",Debt/Equity
